accx,accy,accz,grox,groy,groz,magx,magy,magz,count
-36,92,7092,0,0,0,0,0,0,0
-36,68,7088,-256,682,-643,0,0,0,1
-56,88,7084,104,748,-465,0,0,0,2
-60,104,7124,40,646,-634,0,0,0,3
-44,36,7084,38,736,-539,0,0,0,4
-76,56,7016,95,624,-536,0,0,0,5
-52,80,7184,29,672,-574,0,0,0,6
-60,144,7080,87,684,-532,0,0,0,7
-12,96,7100,40,648,-453,0,0,0,8
-72,108,7004,104,692,-479,0,0,0,9
-52,80,7068,24,680,-556,0,0,0,10
-96,148,7008,98,674,-477,0,0,0,11
-24,84,7108,93,699,-477,0,0,0,12
-80,76,7120,99,694,-536,0,0,0,13
-72,76,7128,42,675,-592,0,0,0,14
8,88,7088,45,695,-498,0,0,0,15
-40,140,7120,60,645,-526,0,0,0,16
-76,116,7088,74,655,-568,0,0,0,17
-48,100,7096,98,681,-504,0,0,0,18
-8,140,7100,81,702,-483,0,0,0,19
-24,76,7152,97,645,-498,0,0,0,20
-56,116,7156,86,639,-517,0,0,0,21
-52,92,7152,102,693,-530,0,0,0,22
-16,132,7096,82,652,-485,0,0,0,23
-52,64,7136,114,662,-543,0,0,0,24
-32,100,7164,104,655,-569,0,0,0,25
-4,120,7148,59,724,-531,0,0,0,26
-24,44,7092,62,687,-544,0,0,0,27
-84,172,7076,66,640,-493,0,0,0,28
-44,44,7076,97,686,-575,0,0,0,29
-24,88,7072,72,727,-511,0,0,0,30
-20,120,7112,80,679,-526,0,0,0,31
-8,112,7168,148,682,-488,0,0,0,32
12,84,7124,44,680,-477,0,0,0,33
-24,128,7052,83,669,-529,0,0,0,34
-80,72,7004,99,665,-498,0,0,0,35
-124,100,7192,97,633,-499,0,0,0,36
-48,148,7128,76,625,-515,0,0,0,37
-64,40,7180,83,652,-503,0,0,0,38
-72,124,7072,94,662,-539,0,0,0,39
-76,92,7068,111,683,-445,0,0,0,40
-44,56,7124,93,729,-579,0,0,0,41
-124,124,7104,47,681,-504,0,0,0,42
-44,72,7092,61,706,-476,0,0,0,43
-76,84,7168,122,689,-508,0,0,0,44
-56,72,7136,73,677,-564,0,0,0,45
-68,60,7128,76,679,-505,0,0,0,46
-80,32,7172,75,682,-519,0,0,0,47
12,96,7140,75,685,-524,0,0,0,48
-36,92,7116,81,727,-472,0,0,0,49
-12,112,7152,73,698,-570,0,0,0,50
-80,52,7096,111,608,-549,0,0,0,51
-52,100,7088,61,718,-494,0,0,0,52
-24,76,7120,27,682,-504,0,0,0,53
-16,44,7088,61,688,-550,0,0,0,54
-72,144,7068,90,624,-509,0,0,0,55
-68,80,7052,87,682,-533,0,0,0,56
-44,92,7184,61,667,-517,0,0,0,57
-52,100,7176,88,620,-503,0,0,0,58
-24,52,7088,59,662,-505,0,0,0,59
-8,96,7100,86,734,-503,0,0,0,60
-8,128,7144,94,722,-422,0,0,0,61
-52,24,7056,99,699,-530,0,0,0,62
-16,88,7128,51,697,-478,0,0,0,63
-124,132,7052,82,671,-504,0,0,0,64
-60,52,7144,77,701,-545,0,0,0,65
-12,96,7116,28,711,-474,0,0,0,66
-44,124,7108,12,660,-522,0,0,0,67
-36,128,7064,92,721,-529,0,0,0,68
-40,144,7172,68,651,-533,0,0,0,69
-40,116,7056,82,650,-496,0,0,0,70
-4,68,7100,28,703,-495,0,0,0,71
16,172,7128,78,646,-511,0,0,0,72
-20,112,7140,103,633,-483,0,0,0,73
-40,120,7072,78,662,-514,0,0,0,74
-84,116,7088,73,665,-496,0,0,0,75
-64,64,7112,90,648,-545,0,0,0,76
-4,88,7156,67,677,-508,0,0,0,77
-40,132,7108,78,724,-533,0,0,0,78
-36,100,7028,81,660,-507,0,0,0,79
-60,16,7172,99,690,-565,0,0,0,80
-60,80,7144,63,641,-508,0,0,0,81
-8,56,7128,120,682,-477,0,0,0,82
-80,120,7056,121,712,-473,0,0,0,83
-64,60,7080,66,638,-492,0,0,0,84
68,92,7128,104,660,-494,0,0,0,85
-120,92,7116,26,688,-477,0,0,0,86
-24,84,7064,118,710,-461,0,0,0,87
-40,60,7100,113,696,-525,0,0,0,88
-32,152,7092,67,665,-459,0,0,0,89
-40,108,7176,65,664,-529,0,0,0,90
-44,128,7104,49,618,-510,0,0,0,91
-108,76,7140,89,668,-465,0,0,0,92
-68,80,7072,59,684,-533,0,0,0,93
-44,128,7120,64,724,-550,0,0,0,94
-20,68,7100,37,643,-534,0,0,0,95
-4,88,7108,58,678,-512,0,0,0,96
-104,72,7160,32,665,-529,0,0,0,97
-92,72,7092,42,646,-578,0,0,0,98
-48,96,7080,68,710,-476,0,0,0,99
-48,60,7072,33,734,-550,0,0,0,100
-56,112,7140,71,643,-454,0,0,0,101
-28,56,7140,13,658,-499,0,0,0,102
-52,120,7140,65,702,-488,0,0,0,103
-80,96,7140,127,603,-501,0,0,0,104
-28,96,7092,85,692,-550,0,0,0,105
-28,68,7180,100,696,-498,0,0,0,106
-28,60,7108,20,670,-525,0,0,0,107
-44,96,7104,107,651,-477,0,0,0,108
-80,72,7176,100,669,-490,0,0,0,109
-60,52,7156,113,610,-525,0,0,0,110
-32,136,7172,63,676,-532,0,0,0,111
-92,72,7160,68,664,-542,0,0,0,112
4,92,7136,71,635,-519,0,0,0,113
-20,96,7060,76,695,-571,0,0,0,114
-68,100,7088,71,670,-450,0,0,0,115
-32,124,7116,50,698,-505,0,0,0,116
-52,156,7100,126,718,-543,0,0,0,117
-36,40,7096,66,644,-543,0,0,0,118
-64,124,7092,62,694,-470,0,0,0,119
-32,136,7284,26,704,-517,0,0,0,120
-60,72,7020,79,677,-463,0,0,0,121
-24,112,7160,89,709,-551,0,0,0,122
-44,140,7072,109,689,-514,0,0,0,123
-72,116,7132,95,701,-518,0,0,0,124
-32,88,7184,61,665,-481,0,0,0,125
-72,80,7112,33,708,-496,0,0,0,126
-68,84,7084,116,683,-467,0,0,0,127
-24,88,7140,84,682,-499,0,0,0,128
-48,40,7148,29,709,-494,0,0,0,129
-28,48,7108,118,708,-520,0,0,0,130
-12,44,7120,84,671,-455,0,0,0,131
-24,128,7168,84,656,-441,0,0,0,132
-4,136,7232,94,612,-524,0,0,0,133
-44,100,7068,53,675,-540,0,0,0,134
-28,104,7124,85,674,-494,0,0,0,135
-76,60,7128,74,672,-532,0,0,0,136
-64,72,7120,123,705,-522,0,0,0,137
-76,112,7136,42,646,-474,0,0,0,138
-24,108,7120,57,689,-494,0,0,0,139
-76,84,7128,52,718,-523,0,0,0,140
-48,72,7112,56,765,-552,0,0,0,141
-76,120,7124,117,691,-576,0,0,0,142
-48,144,7144,60,681,-516,0,0,0,143
-76,72,7116,66,678,-424,0,0,0,144
-64,108,7088,63,706,-477,0,0,0,145
-84,164,7148,95,658,-513,0,0,0,146
-52,80,7084,120,670,-588,0,0,0,147
-40,44,7076,100,701,-521,0,0,0,148
-100,116,7136,104,755,-552,0,0,0,149
-92,112,7100,88,695,-522,0,0,0,150
-60,172,7072,63,700,-524,0,0,0,151
-64,148,7024,61,609,-499,0,0,0,152
-104,64,7220,42,686,-506,0,0,0,153
-64,36,7200,96,663,-495,0,0,0,154
-36,100,7128,52,642,-562,0,0,0,155
-48,52,7052,50,658,-494,0,0,0,156
-20,60,7056,103,684,-512,0,0,0,157
-76,120,7112,35,713,-516,0,0,0,158
-36,136,7080,17,665,-465,0,0,0,159
-4,84,7212,22,681,-514,0,0,0,160
-96,76,7164,118,688,-488,0,0,0,161
-84,76,7168,76,691,-564,0,0,0,162
-68,64,7160,36,691,-534,0,0,0,163
-68,40,7148,21,742,-498,0,0,0,164
-36,104,7036,33,680,-512,0,0,0,165
4,84,7140,62,689,-434,0,0,0,166
-40,132,7100,85,670,-487,0,0,0,167
-20,108,7084,74,678,-443,0,0,0,168
-56,88,7116,41,649,-424,0,0,0,169
-36,96,7136,44,650,-502,0,0,0,170
-60,64,7136,75,718,-564,0,0,0,171
-72,80,7144,70,730,-474,0,0,0,172
-44,72,7132,52,615,-480,0,0,0,173
-36,124,7092,91,681,-540,0,0,0,174
-80,60,7136,71,688,-539,0,0,0,177
-84,80,7096,48,644,-480,0,0,0,178
4,124,7080,60,674,-555,0,0,0,179
-36,84,7088,41,653,-497,0,0,0,180
-40,64,7112,108,711,-525,0,0,0,181
-36,24,7140,94,632,-486,0,0,0,182
-60,144,7072,45,699,-554,0,0,0,183
-40,136,7084,56,732,-467,0,0,0,184
-68,92,7160,15,695,-578,0,0,0,185
-4,40,7080,72,682,-454,0,0,0,186
-76,88,7176,63,686,-521,0,0,0,187
-56,152,7100,92,673,-546,0,0,0,188
-72,124,7168,80,695,-528,0,0,0,189
-32,60,7076,64,643,-578,0,0,0,190
-108,124,7128,77,672,-539,0,0,0,191
-24,64,7088,67,674,-497,0,0,0,192
-44,52,7136,66,634,-574,0,0,0,193
-64,132,7116,49,715,-550,0,0,0,194
-56,100,7128,101,712,-525,0,0,0,195
-12,160,7080,54,665,-566,0,0,0,196
-72,72,7072,59,691,-503,0,0,0,197
-28,100,7152,48,641,-527,0,0,0,198
40,100,7040,80,637,-526,0,0,0,199
-80,76,7112,56,647,-476,0,0,0,200
